epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
63,44.0153,1.14397,4.52351,1.36603,0.03333,0.5,0.16583,0.14925,0.96111,3.84857,1.01615,0.000512889,0.000170963,0.000512889,0.000170963,0.000512889,0.000170963,0.000512889,0.000170963
64,44.4251,1.16677,4.38075,1.37053,0.03333,0.5,0.16583,0.14925,0.96111,3.84857,1.01615,0.000507802,0.000169267,0.000507802,0.000169267,0.000507802,0.000169267,0.000507802,0.000169267
65,44.8402,1.0334,4.45653,1.31139,0.03333,0.5,0.16583,0.14925,0.96111,3.84857,1.01615,0.00050229,0.00016743,0.00050229,0.00016743,0.00050229,0.00016743,0.00050229,0.00016743
66,45.4937,1.18163,4.39201,1.36819,0.03333,0.5,0.16583,0.14925,1.11653,3.85145,1.06808,0.000496355,0.000165452,0.000496355,0.000165452,0.000496355,0.000165452,0.000496355,0.000165452
67,45.8971,1.22503,4.24723,1.30422,0.03333,0.5,0.16583,0.14925,1.11653,3.85145,1.06808,0.000489995,0.000163332,0.000489995,0.000163332,0.000489995,0.000163332,0.000489995,0.000163332
68,46.3933,0.96154,4.42627,1.34394,0.03333,0.5,0.16583,0.14925,1.11653,3.85145,1.06808,0.000483212,0.000161071,0.000483212,0.000161071,0.000483212,0.000161071,0.000483212,0.000161071
69,47.2923,1.04725,4.39661,1.25806,0.03846,0.5,0.24875,0.22387,0.91013,3.85717,1.01346,0.000476004,0.000158668,0.000476004,0.000158668,0.000476004,0.000158668,0.000476004,0.000158668
70,47.7154,0.97331,4.33149,1.32167,0.03846,0.5,0.24875,0.22387,0.91013,3.85717,1.01346,0.000468372,0.000156124,0.000468372,0.000156124,0.000468372,0.000156124,0.000468372,0.000156124
71,48.2726,1.14319,4.43056,1.37196,0.03846,0.5,0.24875,0.22387,0.91013,3.85717,1.01346,0.000460316,0.000153439,0.000460316,0.000153439,0.000460316,0.000153439,0.000460316,0.000153439
72,49.1943,1.06366,4.41859,1.37295,0.02941,0.5,0.24875,0.22387,0.93281,3.88784,1.09653,0.000451836,0.000150612,0.000451836,0.000150612,0.000451836,0.000150612,0.000451836,0.000150612
